"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При создании курьера не переданы обязательные поля","129","Проверка обязательных полей","tests","Wed May 21 18:21:33 MSK 2025","passed","Wed May 21 18:21:33 MSK 2025","TestCourier","test_courier","",""
"Проверка успешной авторизации курьера","154","Проверка успешной авторизации","tests","Wed May 21 18:21:33 MSK 2025","passed","Wed May 21 18:21:33 MSK 2025","TestCourier","test_courier","",""
"Попытка создания курьера с уже существующим логином","421","Проверка дублирования курьера","tests","Wed May 21 18:21:32 MSK 2025","passed","Wed May 21 18:21:32 MSK 2025","TestCourier","test_courier","",""
"Проверка ненайденной учетной записи","140","Проверка неверных учетных данных","tests","Wed May 21 18:21:34 MSK 2025","passed","Wed May 21 18:21:34 MSK 2025","TestCourier","test_courier","",""
"Проверка при недостаточных входных данных","60217","Проверка отсутствия поля при авторизации","tests","Wed May 21 18:21:34 MSK 2025","skipped","Wed May 21 18:22:34 MSK 2025","TestCourier","test_courier","",""
"Проверка создания заказа с разными цветами","497","Проверка создания заказа с разными цветами","tests","Wed May 21 18:22:35 MSK 2025","passed","Wed May 21 18:22:36 MSK 2025","TestOrder","test_order","",""
"Проверка создания заказа с разными цветами","406","Проверка создания заказа с разными цветами","tests","Wed May 21 18:22:36 MSK 2025","passed","Wed May 21 18:22:37 MSK 2025","TestOrder","test_order","",""
"Проверка корректного создания нового курьера","0","Успешное создание курьера","tests","Wed May 21 18:21:30 MSK 2025","passed","Wed May 21 18:21:30 MSK 2025","TestCourier","test_courier","",""
"Проверка при создании пользователя с несуществующим логином","727","Проверка несуществующего пользователя","tests","Wed May 21 18:22:35 MSK 2025","passed","Wed May 21 18:22:35 MSK 2025","TestCourier","test_courier","",""
"Проверка создания заказа с разными цветами","258","Проверка создания заказа с разными цветами","tests","Wed May 21 18:22:37 MSK 2025","passed","Wed May 21 18:22:37 MSK 2025","TestOrder","test_order","",""
"При создании курьера не переданы обязательные поля","133","Проверка обязательных полей","tests","Wed May 21 18:21:33 MSK 2025","passed","Wed May 21 18:21:33 MSK 2025","TestCourier","test_courier","",""
"Проверка создания заказа с разными цветами","405","Проверка создания заказа с разными цветами","tests","Wed May 21 18:22:36 MSK 2025","passed","Wed May 21 18:22:36 MSK 2025","TestOrder","test_order","",""
"Проверка получения списка заказов","1756","Проверка получения списка заказов","tests","Wed May 21 18:22:37 MSK 2025","passed","Wed May 21 18:22:39 MSK 2025","TestOrder","test_order","",""
